date,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,count,recency
2011-01-01,Winter,2011,Jan,No,Sat,No,Clear,331,654,985,730
2011-01-02,Winter,2011,Jan,No,Sun,No,Mist,131,670,801,729
2011-01-03,Winter,2011,Jan,No,Mon,Yes,Clear,120,1229,1349,728
2011-01-04,Winter,2011,Jan,No,Tue,Yes,Clear,108,1454,1562,727
2011-01-05,Winter,2011,Jan,No,Wed,Yes,Clear,82,1518,1600,726
2011-01-06,Winter,2011,Jan,No,Thu,Yes,Clear,88,1518,1606,725
2011-01-07,Winter,2011,Jan,No,Fri,Yes,Mist,148,1362,1510,724
2011-01-08,Winter,2011,Jan,No,Sat,No,Mist,68,891,959,723
2011-01-09,Winter,2011,Jan,No,Sun,No,Clear,54,768,822,722
2011-01-10,Winter,2011,Jan,No,Mon,Yes,Clear,41,1280,1321,721
2011-01-11,Winter,2011,Jan,No,Tue,Yes,Clear,43,1220,1263,720
2011-01-12,Winter,2011,Jan,No,Wed,Yes,Mist,25,1137,1162,719
2011-01-13,Winter,2011,Jan,No,Thu,Yes,Clear,38,1368,1406,718
2011-01-14,Winter,2011,Jan,No,Fri,Yes,Clear,54,1367,1421,717
2011-01-15,Winter,2011,Jan,No,Sat,No,Clear,222,1026,1248,716
2011-01-16,Winter,2011,Jan,No,Sun,No,Clear,251,953,1204,715
2011-01-17,Winter,2011,Jan,Yes,Mon,No,Mist,117,883,1000,714
2011-01-18,Winter,2011,Jan,No,Tue,Yes,Mist,9,674,683,713
2011-01-19,Winter,2011,Jan,No,Wed,Yes,Mist,78,1572,1650,712
2011-01-20,Winter,2011,Jan,No,Thu,Yes,Clear,83,1844,1927,711
2011-01-21,Winter,2011,Jan,No,Fri,Yes,Mist,75,1468,1543,710
2011-01-22,Winter,2011,Jan,No,Sat,No,Clear,93,888,981,709
2011-01-23,Winter,2011,Jan,No,Sun,No,Clear,150,836,986,708
2011-01-24,Winter,2011,Jan,No,Mon,Yes,Clear,86,1330,1416,707
2011-01-25,Winter,2011,Jan,No,Tue,Yes,Mist,186,1799,1985,706
2011-01-26,Winter,2011,Jan,No,Wed,Yes,Mist,34,472,506,705
2011-01-27,Winter,2011,Jan,No,Thu,Yes,Clear,15,416,431,704
2011-01-28,Winter,2011,Jan,No,Fri,Yes,Mist,38,1129,1167,703
2011-01-29,Winter,2011,Jan,No,Sat,No,Clear,123,975,1098,702
2011-01-30,Winter,2011,Jan,No,Sun,No,Clear,140,956,1096,701
2011-01-31,Winter,2011,Jan,No,Mon,Yes,Mist,42,1459,1501,700
2011-02-01,Winter,2011,Feb,No,Tue,Yes,Mist,47,1313,1360,699
2011-02-02,Winter,2011,Feb,No,Wed,Yes,Light Rain,72,1454,1526,698
2011-02-03,Winter,2011,Feb,No,Thu,Yes,Clear,61,1489,1550,697
2011-02-04,Winter,2011,Feb,No,Fri,Yes,Mist,88,1620,1708,696
2011-02-05,Winter,2011,Feb,No,Sat,No,Mist,100,905,1005,695
2011-02-06,Winter,2011,Feb,No,Sun,No,Clear,354,1269,1623,694
2011-02-07,Winter,2011,Feb,No,Mon,Yes,Clear,120,1592,1712,693
2011-02-08,Winter,2011,Feb,No,Tue,Yes,Mist,64,1466,1530,692
2011-02-09,Winter,2011,Feb,No,Wed,Yes,Clear,53,1552,1605,691
2011-02-10,Winter,2011,Feb,No,Thu,Yes,Light Rain,47,1491,1538,690
2011-02-11,Winter,2011,Feb,No,Fri,Yes,Clear,149,1597,1746,689
2011-02-12,Winter,2011,Feb,No,Sat,No,Clear,288,1184,1472,688
2011-02-13,Winter,2011,Feb,No,Sun,No,Clear,397,1192,1589,687
2011-02-14,Winter,2011,Feb,No,Mon,Yes,Clear,208,1705,1913,686
2011-02-15,Winter,2011,Feb,No,Tue,Yes,Clear,140,1675,1815,685
2011-02-16,Winter,2011,Feb,No,Wed,Yes,Clear,218,1897,2115,684
2011-02-17,Winter,2011,Feb,No,Thu,Yes,Clear,259,2216,2475,683
2011-02-18,Winter,2011,Feb,No,Fri,Yes,Clear,579,2348,2927,682
2011-02-19,Winter,2011,Feb,No,Sat,No,Clear,532,1103,1635,681
2011-02-20,Winter,2011,Feb,No,Sun,No,Clear,639,1173,1812,680
2011-02-21,Winter,2011,Feb,Yes,Mon,No,Mist,195,912,1107,679
2011-02-22,Winter,2011,Feb,No,Tue,Yes,Mist,74,1376,1450,678
2011-02-23,Winter,2011,Feb,No,Wed,Yes,Clear,139,1778,1917,677
2011-02-24,Winter,2011,Feb,No,Thu,Yes,Clear,100,1707,1807,676
2011-02-25,Winter,2011,Feb,No,Fri,Yes,Light Rain,120,1341,1461,675
2011-02-26,Winter,2011,Feb,No,Sat,No,Clear,424,1545,1969,674
2011-02-27,Winter,2011,Feb,No,Sun,No,Clear,694,1708,2402,673
2011-02-28,Winter,2011,Feb,No,Mon,Yes,Mist,81,1365,1446,672
2011-03-01,Winter,2011,Mar,No,Tue,Yes,Clear,137,1714,1851,671
2011-03-02,Winter,2011,Mar,No,Wed,Yes,Clear,231,1903,2134,670
2011-03-03,Winter,2011,Mar,No,Thu,Yes,Clear,123,1562,1685,669
2011-03-04,Winter,2011,Mar,No,Fri,Yes,Mist,214,1730,1944,668
2011-03-05,Winter,2011,Mar,No,Sat,No,Mist,640,1437,2077,667
2011-03-06,Winter,2011,Mar,No,Sun,No,Mist,114,491,605,666
2011-03-07,Winter,2011,Mar,No,Mon,Yes,Light Rain,244,1628,1872,665
2011-03-08,Winter,2011,Mar,No,Tue,Yes,Clear,316,1817,2133,664
2011-03-09,Winter,2011,Mar,No,Wed,Yes,Clear,191,1700,1891,663
2011-03-10,Winter,2011,Mar,No,Thu,Yes,Light Rain,46,577,623,662
2011-03-11,Winter,2011,Mar,No,Fri,Yes,Mist,247,1730,1977,661
2011-03-12,Winter,2011,Mar,No,Sat,No,Clear,724,1408,2132,660
2011-03-13,Winter,2011,Mar,No,Sun,No,Clear,982,1435,2417,659
2011-03-14,Winter,2011,Mar,No,Mon,Yes,Clear,359,1687,2046,658
2011-03-15,Winter,2011,Mar,No,Tue,Yes,Clear,289,1767,2056,657
2011-03-16,Winter,2011,Mar,No,Wed,Yes,Light Rain,321,1871,2192,656
2011-03-17,Winter,2011,Mar,No,Thu,Yes,Clear,424,2320,2744,655
2011-03-18,Winter,2011,Mar,No,Fri,Yes,Clear,884,2355,3239,654
2011-03-19,Winter,2011,Mar,No,Sat,No,Mist,1424,1693,3117,653
2011-03-20,Winter,2011,Mar,No,Sun,No,Clear,1047,1424,2471,652
2011-03-21,Spring,2011,Mar,No,Mon,Yes,Light Rain,401,1676,2077,651
2011-03-22,Spring,2011,Mar,No,Tue,Yes,Clear,460,2243,2703,650
2011-03-23,Spring,2011,Mar,No,Wed,Yes,Light Rain,203,1918,2121,649
2011-03-24,Spring,2011,Mar,No,Thu,Yes,Mist,166,1699,1865,648
2011-03-25,Spring,2011,Mar,No,Fri,Yes,Clear,300,1910,2210,647
2011-03-26,Spring,2011,Mar,No,Sat,No,Mist,981,1515,2496,646
2011-03-27,Spring,2011,Mar,No,Sun,No,Mist,472,1221,1693,645
2011-03-28,Spring,2011,Mar,No,Mon,Yes,Clear,222,1806,2028,644
2011-03-29,Spring,2011,Mar,No,Tue,Yes,Clear,317,2108,2425,643
2011-03-30,Spring,2011,Mar,No,Wed,Yes,Mist,168,1368,1536,642
2011-03-31,Spring,2011,Mar,No,Thu,Yes,Light Rain,179,1506,1685,641
2011-04-01,Spring,2011,Apr,No,Fri,Yes,Light Rain,307,1920,2227,640
2011-04-02,Spring,2011,Apr,No,Sat,No,Mist,898,1354,2252,639
2011-04-03,Spring,2011,Apr,No,Sun,No,Clear,1651,1598,3249,638
2011-04-04,Spring,2011,Apr,No,Mon,Yes,Clear,734,2381,3115,637
2011-04-05,Spring,2011,Apr,No,Tue,Yes,Clear,167,1628,1795,636
2011-04-06,Spring,2011,Apr,No,Wed,Yes,Clear,413,2395,2808,635
2011-04-07,Spring,2011,Apr,No,Thu,Yes,Clear,571,2570,3141,634
2011-04-08,Spring,2011,Apr,No,Fri,Yes,Mist,172,1299,1471,633
2011-04-09,Spring,2011,Apr,No,Sat,No,Mist,879,1576,2455,632
2011-04-10,Spring,2011,Apr,No,Sun,No,Mist,1188,1707,2895,631
2011-04-11,Spring,2011,Apr,No,Mon,Yes,Clear,855,2493,3348,630
2011-04-12,Spring,2011,Apr,No,Tue,Yes,Mist,257,1777,2034,629
2011-04-13,Spring,2011,Apr,No,Wed,Yes,Mist,209,1953,2162,628
2011-04-14,Spring,2011,Apr,No,Thu,Yes,Clear,529,2738,3267,627
2011-04-15,Spring,2011,Apr,Yes,Fri,No,Clear,642,2484,3126,626
2011-04-16,Spring,2011,Apr,No,Sat,No,Mist,121,674,795,625
2011-04-17,Spring,2011,Apr,No,Sun,No,Mist,1558,2186,3744,624
2011-04-18,Spring,2011,Apr,No,Mon,Yes,Clear,669,2760,3429,623
2011-04-19,Spring,2011,Apr,No,Tue,Yes,Clear,409,2795,3204,622
2011-04-20,Spring,2011,Apr,No,Wed,Yes,Clear,613,3331,3944,621
2011-04-21,Spring,2011,Apr,No,Thu,Yes,Clear,745,3444,4189,620
2011-04-22,Spring,2011,Apr,No,Fri,Yes,Clear,177,1506,1683,619
2011-04-23,Spring,2011,Apr,No,Sat,No,Mist,1462,2574,4036,618
2011-04-24,Spring,2011,Apr,No,Sun,No,Clear,1710,2481,4191,617
2011-04-25,Spring,2011,Apr,No,Mon,Yes,Light Rain,773,3300,4073,616
2011-04-26,Spring,2011,Apr,No,Tue,Yes,Clear,678,3722,4400,615
2011-04-27,Spring,2011,Apr,No,Wed,Yes,Clear,547,3325,3872,614
2011-04-28,Spring,2011,Apr,No,Thu,Yes,Clear,569,3489,4058,613
2011-04-29,Spring,2011,Apr,No,Fri,Yes,Clear,878,3717,4595,612
2011-04-30,Spring,2011,Apr,No,Sat,No,Mist,1965,3347,5312,611
2011-05-01,Spring,2011,May,No,Sun,No,Clear,1138,2213,3351,610
2011-05-02,Spring,2011,May,No,Mon,Yes,Clear,847,3554,4401,609
2011-05-03,Spring,2011,May,No,Tue,Yes,Mist,603,3848,4451,608
2011-05-04,Spring,2011,May,No,Wed,Yes,Light Rain,255,2378,2633,607
2011-05-05,Spring,2011,May,No,Thu,Yes,Clear,614,3819,4433,606
2011-05-06,Spring,2011,May,No,Fri,Yes,Clear,894,3714,4608,605
2011-05-07,Spring,2011,May,No,Sat,No,Clear,1612,3102,4714,604
2011-05-08,Spring,2011,May,No,Sun,No,Mist,1401,2932,4333,603
2011-05-09,Spring,2011,May,No,Mon,Yes,Clear,664,3698,4362,602
2011-05-10,Spring,2011,May,No,Tue,Yes,Clear,694,4109,4803,601
2011-05-11,Spring,2011,May,No,Wed,Yes,Mist,550,3632,4182,600
2011-05-12,Spring,2011,May,No,Thu,Yes,Mist,695,4169,4864,599
2011-05-13,Spring,2011,May,No,Fri,Yes,Mist,692,3413,4105,598
2011-05-14,Spring,2011,May,No,Sat,No,Mist,902,2507,3409,597
2011-05-15,Spring,2011,May,No,Sun,No,Mist,1582,2971,4553,596
2011-05-16,Spring,2011,May,No,Mon,Yes,Clear,773,3185,3958,595
2011-05-17,Spring,2011,May,No,Tue,Yes,Mist,678,3445,4123,594
2011-05-18,Spring,2011,May,No,Wed,Yes,Mist,536,3319,3855,593
2011-05-19,Spring,2011,May,No,Thu,Yes,Clear,735,3840,4575,592
2011-05-20,Spring,2011,May,No,Fri,Yes,Clear,909,4008,4917,591
2011-05-21,Spring,2011,May,No,Sat,No,Clear,2258,3547,5805,590
2011-05-22,Spring,2011,May,No,Sun,No,Clear,1576,3084,4660,589
2011-05-23,Spring,2011,May,No,Mon,Yes,Mist,836,3438,4274,588
2011-05-24,Spring,2011,May,No,Tue,Yes,Mist,659,3833,4492,587
2011-05-25,Spring,2011,May,No,Wed,Yes,Light Rain,740,4238,4978,586
2011-05-26,Spring,2011,May,No,Thu,Yes,Clear,758,3919,4677,585
2011-05-27,Spring,2011,May,No,Fri,Yes,Clear,871,3808,4679,584
2011-05-28,Spring,2011,May,No,Sat,No,Clear,2001,2757,4758,583
2011-05-29,Spring,2011,May,No,Sun,No,Clear,2355,2433,4788,582
2011-05-30,Spring,2011,May,Yes,Mon,No,Clear,1549,2549,4098,581
2011-05-31,Spring,2011,May,No,Tue,Yes,Clear,673,3309,3982,580
2011-06-01,Spring,2011,Jun,No,Wed,Yes,Clear,513,3461,3974,579
2011-06-02,Spring,2011,Jun,No,Thu,Yes,Clear,736,4232,4968,578
2011-06-03,Spring,2011,Jun,No,Fri,Yes,Clear,898,4414,5312,577
2011-06-04,Spring,2011,Jun,No,Sat,No,Clear,1869,3473,5342,576
2011-06-05,Spring,2011,Jun,No,Sun,No,Clear,1685,3221,4906,575
2011-06-06,Spring,2011,Jun,No,Mon,Yes,Clear,673,3875,4548,574
2011-06-07,Spring,2011,Jun,No,Tue,Yes,Clear,763,4070,4833,573
2011-06-08,Spring,2011,Jun,No,Wed,Yes,Clear,676,3725,4401,572
2011-06-09,Spring,2011,Jun,No,Thu,Yes,Mist,563,3352,3915,571
2011-06-10,Spring,2011,Jun,No,Fri,Yes,Light Rain,815,3771,4586,570
2011-06-11,Spring,2011,Jun,No,Sat,No,Clear,1729,3237,4966,569
2011-06-12,Spring,2011,Jun,No,Sun,No,Clear,1467,2993,4460,568
2011-06-13,Spring,2011,Jun,No,Mon,Yes,Clear,863,4157,5020,567
2011-06-14,Spring,2011,Jun,No,Tue,Yes,Clear,727,4164,4891,566
2011-06-15,Spring,2011,Jun,No,Wed,Yes,Clear,769,4411,5180,565
2011-06-16,Spring,2011,Jun,No,Thu,Yes,Clear,545,3222,3767,564
2011-06-17,Spring,2011,Jun,No,Fri,Yes,Clear,863,3981,4844,563
2011-06-18,Spring,2011,Jun,No,Sat,No,Clear,1807,3312,5119,562
2011-06-19,Spring,2011,Jun,No,Sun,No,Clear,1639,3105,4744,561
2011-06-20,Spring,2011,Jun,No,Mon,Yes,Clear,699,3311,4010,560
2011-06-21,Summer,2011,Jun,No,Tue,Yes,Clear,774,4061,4835,559
2011-06-22,Summer,2011,Jun,No,Wed,Yes,Clear,661,3846,4507,558
2011-06-23,Summer,2011,Jun,No,Thu,Yes,Clear,746,4044,4790,557
2011-06-24,Summer,2011,Jun,No,Fri,Yes,Clear,969,4022,4991,556
2011-06-25,Summer,2011,Jun,No,Sat,No,Clear,1782,3420,5202,555
2011-06-26,Summer,2011,Jun,No,Sun,No,Clear,1920,3385,5305,554
2011-06-27,Summer,2011,Jun,No,Mon,Yes,Light Rain,854,3854,4708,553
2011-06-28,Summer,2011,Jun,No,Tue,Yes,Mist,732,3916,4648,552
2011-06-29,Summer,2011,Jun,No,Wed,Yes,Mist,848,4377,5225,551
2011-06-30,Summer,2011,Jun,No,Thu,Yes,Clear,1027,4488,5515,550
2011-07-01,Summer,2011,Jul,No,Fri,Yes,Clear,1246,4116,5362,549
2011-07-02,Summer,2011,Jul,No,Sat,No,Clear,2204,2915,5119,548
2011-07-03,Summer,2011,Jul,No,Sun,No,Clear,2282,2367,4649,547
2011-07-04,Summer,2011,Jul,Yes,Mon,No,Clear,3065,2978,6043,546
2011-07-05,Summer,2011,Jul,No,Tue,Yes,Mist,1031,3634,4665,545
2011-07-06,Summer,2011,Jul,No,Wed,Yes,Clear,784,3845,4629,544
2011-07-07,Summer,2011,Jul,No,Thu,Yes,Clear,754,3838,4592,543
2011-07-08,Summer,2011,Jul,No,Fri,Yes,Clear,692,3348,4040,542
2011-07-09,Summer,2011,Jul,No,Sat,No,Mist,1988,3348,5336,541
2011-07-10,Summer,2011,Jul,No,Sun,No,Clear,1743,3138,4881,540
2011-07-11,Summer,2011,Jul,No,Mon,Yes,Clear,723,3363,4086,539
2011-07-12,Summer,2011,Jul,No,Tue,Yes,Clear,662,3596,4258,538
2011-07-13,Summer,2011,Jul,No,Wed,Yes,Clear,748,3594,4342,537
2011-07-14,Summer,2011,Jul,No,Thu,Yes,Clear,888,4196,5084,536
2011-07-15,Summer,2011,Jul,No,Fri,Yes,Clear,1318,4220,5538,535
2011-07-16,Summer,2011,Jul,No,Sat,No,Clear,2418,3505,5923,534
2011-07-17,Summer,2011,Jul,No,Sun,No,Clear,2006,3296,5302,533
2011-07-18,Summer,2011,Jul,No,Mon,Yes,Clear,841,3617,4458,532
2011-07-19,Summer,2011,Jul,No,Tue,Yes,Clear,752,3789,4541,531
2011-07-20,Summer,2011,Jul,No,Wed,Yes,Clear,644,3688,4332,530
2011-07-21,Summer,2011,Jul,No,Thu,Yes,Mist,632,3152,3784,529
2011-07-22,Summer,2011,Jul,No,Fri,Yes,Clear,562,2825,3387,528
2011-07-23,Summer,2011,Jul,No,Sat,No,Clear,987,2298,3285,527
2011-07-24,Summer,2011,Jul,No,Sun,No,Clear,1050,2556,3606,526
2011-07-25,Summer,2011,Jul,No,Mon,Yes,Mist,568,3272,3840,525
2011-07-26,Summer,2011,Jul,No,Tue,Yes,Clear,750,3840,4590,524
2011-07-27,Summer,2011,Jul,No,Wed,Yes,Mist,755,3901,4656,523
2011-07-28,Summer,2011,Jul,No,Thu,Yes,Clear,606,3784,4390,522
2011-07-29,Summer,2011,Jul,No,Fri,Yes,Clear,670,3176,3846,521
2011-07-30,Summer,2011,Jul,No,Sat,No,Clear,1559,2916,4475,520
2011-07-31,Summer,2011,Jul,No,Sun,No,Clear,1524,2778,4302,519
2011-08-01,Summer,2011,Aug,No,Mon,Yes,Clear,729,3537,4266,518
2011-08-02,Summer,2011,Aug,No,Tue,Yes,Clear,801,4044,4845,517
2011-08-03,Summer,2011,Aug,No,Wed,Yes,Mist,467,3107,3574,516
2011-08-04,Summer,2011,Aug,No,Thu,Yes,Mist,799,3777,4576,515
2011-08-05,Summer,2011,Aug,No,Fri,Yes,Clear,1023,3843,4866,514
2011-08-06,Summer,2011,Aug,No,Sat,No,Clear,1521,2773,4294,513
2011-08-07,Summer,2011,Aug,No,Sun,No,Mist,1298,2487,3785,512
2011-08-08,Summer,2011,Aug,No,Mon,Yes,Clear,846,3480,4326,511
2011-08-09,Summer,2011,Aug,No,Tue,Yes,Clear,907,3695,4602,510
2011-08-10,Summer,2011,Aug,No,Wed,Yes,Clear,884,3896,4780,509
2011-08-11,Summer,2011,Aug,No,Thu,Yes,Clear,812,3980,4792,508
2011-08-12,Summer,2011,Aug,No,Fri,Yes,Clear,1051,3854,4905,507
2011-08-13,Summer,2011,Aug,No,Sat,No,Clear,1504,2646,4150,506
2011-08-14,Summer,2011,Aug,No,Sun,No,Light Rain,1338,2482,3820,505
2011-08-15,Summer,2011,Aug,No,Mon,Yes,Light Rain,775,3563,4338,504
2011-08-16,Summer,2011,Aug,No,Tue,Yes,Clear,721,4004,4725,503
2011-08-17,Summer,2011,Aug,No,Wed,Yes,Clear,668,4026,4694,502
2011-08-18,Summer,2011,Aug,No,Thu,Yes,Clear,639,3166,3805,501
2011-08-19,Summer,2011,Aug,No,Fri,Yes,Light Rain,797,3356,4153,500
2011-08-20,Summer,2011,Aug,No,Sat,No,Clear,1914,3277,5191,499
2011-08-21,Summer,2011,Aug,No,Sun,No,Clear,1249,2624,3873,498
2011-08-22,Summer,2011,Aug,No,Mon,Yes,Clear,833,3925,4758,497
2011-08-23,Summer,2011,Aug,No,Tue,Yes,Clear,1281,4614,5895,496
2011-08-24,Summer,2011,Aug,No,Wed,Yes,Clear,949,4181,5130,495
2011-08-25,Summer,2011,Aug,No,Thu,Yes,Clear,435,3107,3542,494
2011-08-26,Summer,2011,Aug,No,Fri,Yes,Clear,768,3893,4661,493
2011-08-27,Summer,2011,Aug,No,Sat,No,Clear,226,889,1115,492
2011-08-28,Summer,2011,Aug,No,Sun,No,Light Rain,1415,2919,4334,491
